X,Y,id_sit,iniciat_1,iniciat_2,exp_org,ini_conv,ult_conv,lugar_fisi,territorio,direccion,comuna,cut,orden,plot,long,lat,cod_plus,facebook,instagram,convocator,raciones_n,dato_fte,fecha_ingr,hora_ingre,icon_url
-70.6344271,-33.4539159,1.00000000000,acopio_solidario,cajas_solidarias,Junta de Vecinos El Progreso,0.00000000000,200520.00000000000,Sede Junta de Vecinos El Progreso,Barrio Franklin,Coquimbo 321,Santiago,13101.00000000000,1.00000000000,si,-70.63442710000,-33.45391590000,47RFG9W8+C6,https://www.facebook.com/juntadevecinoselprogresosantiagocentro/,,Solo el pueblo ayuda al pueblo,,Apoya la olla,200525.00000000000,0.00000000000,./0.png
-70.6520864,-33.4569878,2.00000000000,olla_comun,,"Junta de Vecinos Almirante Blanco Encalada; Centro Desarrollo Social y Cultural Rukan; Delisosa Bistro Restaturant",0.00000000000,200524.00000000000,Delisosa Bistro Restaurant,Barrio Matta Norte,Nataniel Cox 886,Santiago,13101.00000000000,2.00000000000,si,-70.65208640000,-33.45698780000,47RFG8VX+65,,,Solo el pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200525.00000000000,0.00000000000,./0.png
-70.649707,-33.468606,3.00000000000,olla_comun,,Junta de Vecinos Mireya Pinto Millán,0.00000000000,200524.00000000000,Sede Junta de Vecinos Mireya Pinto Millán,Barrio Matta Sur,Zenteno 1695,Santiago,13101.00000000000,3.00000000000,si,-70.64970700000,-33.46860600000,G9J2+G4 Santiago,https://www.facebook.com/pages/category/Cause/Junta-de-Vecinos-Mireya-Pinto-Mill%C3%A1n-1892151077461941/,,Solo el pueblo ayuda al pueblo,,Opal Chile,200524.00000000000,0.00000000000,./0.png
-70.6480464,-33.4506223,4.00000000000,acopio_solidario,,Comité de Organización futura JJVV Parque Almagro,0.00000000000,200526.00000000000,Sede Sindicato,Barrio Parque Almagro,Serrano 444,Santiago,13101.00000000000,4.00000000000,si,-70.64804640000,-33.45062230000,no encontrado,https://www.facebook.com/groups/2673251502788902/,@JVPARQUEALMAGRO,"Quieres unirte a colaborar, donar insumos, o rquieres apoyo. Comunicate!",,,200526.00000000000,2257.00000000000,./0.png
-70.6475645,-33.4684108,5.00000000000,olla_comun,,Vecinos y vecinas organizad@s,0.00000000000,200527.00000000000,Templo Metodista,Barrio Franklin,Sargento Aldea 1041,Santiago,13101.00000000000,5.00000000000,si,-70.64756450000,-33.46841080000,47RFG9J2+JX,https://www.facebook.com/photo.php?fbid=10223755643018395&set=a.10222754712995770&type=3&theater,,"Se repite la Olla Común del Barrio Franklin.Vecino, vecina, amigos y compas juntos en las buenas y en las malas. Solo el pueblo ayuda al pueblo.",,,200527.00000000000,2115.00000000000,./0.png
-70.6467641,-33.4708699,6.00000000000,olla_comun,,Coordinadora Territorial para el Barrio Dingo Intercultural,200527.00000000000,200530.00000000000,Espacio público,Barrio Franklin,General Gana con Arturo Prat,Santiago,13101.00000000000,6.00000000000,si,-70.64676410000,-33.47086990000,47RFG9H3+M7,https://www.facebook.com/543980918987525/photos/pcb.3133845146667743/3133844773334447/?type=3&theater,,"Solo el pueblo ayuda al pueblo. Lunes, miercoles, y viernes, desde las 1300",,OllasComunes_Chi_Wall,200528.00000000000,1224.00000000000,./0.png
-70.6403779,-33.4727163,7.00000000000,olla_comun,,Coordinadora Territorial para el Barrio Dingo Intercultural,200527.00000000000,200530.00000000000,Espacio público,Barrio Franklin,"Franklin 631 (entre ingeniero Obreth y Victor Manuel, vereda norte)",Santiago,13101.00000000000,7.00000000000,si,-70.64037790000,-33.47271630000,47RFG9G5+WR,https://www.facebook.com/543980918987525/photos/pcb.3133845146667743/3133844773334447/?type=3&theater,,"Solo el pueblo ayuda al pueblo. Todos los dias, desde las 1400",,OllasComunes_Chi_Wall,200528.00000000000,1224.00000000000,./0.png
-70.6339966,-33.4733709,8.00000000000,olla_comun,,Coordinadora Territorial para el Barrio Dingo Intercultural,200527.00000000000,200531.00000000000,Espacio público,Barrio Franklin,Manuel Antonio Tocornal 2227,Santiago,13101.00000000000,8.00000000000,si,-70.63399660000,-33.47337090000,47RFG9G8+MC,https://www.facebook.com/543980918987525/photos/pcb.3133845146667743/3133844773334447/?type=3&theater,,"Solo el pueblo ayuda al pueblo. Martes, Jueves y Sabado, desde las 1400",,OllasComunes_Chi_Wall,200528.00000000000,1224.00000000000,./0.png
-70.723987,-33.431269,9.00000000000,olla_comun,acopio_solidario,Olla Comun Villa El Porvenir,0.00000000000,200523.00000000000,,Población Nueva Porvenir,Isla de pascua 1354,Cerro Navia,13103.00000000000,0.00000000000,si,-70.72398700000,-33.43126900000,H79G+FC Santiago,,,Olla comun,,Opal Chile,200524.00000000000,0.00000000000,./0.png
-70.7272572,-33.4153455,10.00000000000,olla_comun,,Vecinos y vecinas organizad@s,0.00000000000,200525.00000000000,Espacio público,Villa Carrascal Poniente (ex Sara Gajardo),Las Lumas con Barros Arana,Cerro Navia,13103.00000000000,2.00000000000,si,-70.72725720000,-33.41534550000,47RFH7MF+V3,,,Todos los lunes desde las 1230 hasta 1400. Solo el pueblo ayuda al pueblo,,OllasComunes_Chi_Wall,200526.00000000000,0.00000000000,./0.png
